,R,Delta,Order,Theta
366,60.0,10.0,0.5910815855088043,-0.08768185108124363
367,60.0,10.0,0.4259497868918274,-0.006473186241897576
368,60.0,10.0,0.3174493853636034,0.026300493167446353
369,60.0,10.0,0.34841139853092595,0.2699965947730794
370,60.0,10.0,0.6003056729514118,-0.05695999497783804
371,60.0,10.0,0.5465806512220578,0.08415080659088739
372,60.0,10.0,0.2588046370447736,0.00162905301370416
373,60.0,10.0,0.5043179925088945,-0.1654153654929996
374,60.0,10.0,0.41306573069926833,0.43074534132893255
375,60.0,10.0,0.3206040125459474,0.01613421136779597
376,60.0,10.0,0.4371608194446054,0.2073587094192241
377,60.0,10.0,0.37926317020739814,0.06337788115407736
378,60.0,10.0,0.42986316697317617,-0.117159503695889
379,60.0,10.0,0.43255280974906285,-0.15947298627912793
380,60.0,10.0,0.43473892774278583,0.015149137315486633
381,60.0,10.0,0.3023376473469444,0.0631144866083667
382,60.0,10.0,0.4085781498898479,0.03941374463846953
383,60.0,10.0,0.3749562366079073,0.2622363945595032
384,60.0,10.0,0.5414857175389906,0.08397637305525442
385,60.0,10.0,0.4822393881309736,-0.22516095585645635
386,60.0,10.0,0.5451588004553627,-0.16922490812259555
387,60.0,10.0,0.3733380092355208,0.17031052415802123
388,60.0,10.0,0.4919049789467031,-0.09529873662090665
389,60.0,10.0,0.49283336446379766,-0.027634729393639423
390,60.0,10.0,0.43498326995070685,-0.14926206198786668
391,60.0,10.0,0.4105944391485988,0.05715167715140927
392,60.0,10.0,0.42727673884152173,0.28744884425547645
393,60.0,10.0,0.4242729453172145,0.20739378249676563
394,60.0,10.0,0.3327156165956289,0.21110077898439364
395,60.0,10.0,0.4235041279126156,0.1446378511555863
396,60.0,10.0,0.3857891315738455,0.03463748624789272
397,60.0,10.0,0.5229895663394263,-0.08782180380654152
398,60.0,10.0,0.39720081105583893,0.1698917785144707
399,60.0,10.0,0.32446936802490745,0.01695554149760113
400,90.0,0.0,0.032689017940503495,0.5367548915230396
401,90.0,0.0,0.03920985204332137,0.16083510964076508
402,90.0,0.0,0.06283818241273344,-0.12519920401205872
403,90.0,0.0,0.0581011006324443,-0.14686146425102198
404,90.0,0.0,0.054157950790729895,0.28005418642275415
405,90.0,0.0,0.02417546863379881,0.8403986914555202
406,90.0,0.0,0.06910000905083967,0.08803687774396934
407,90.0,0.0,0.03590628521998145,0.4864509322202615
408,90.0,0.0,0.031074917791885304,-0.3201872077604153
409,90.0,0.0,0.06671003639041462,0.22255558987676358
410,90.0,0.0,0.060377691291043555,0.12665004628304743
411,90.0,0.0,0.032840124242829546,-0.4792646746938561
412,90.0,0.0,0.034067382848015165,0.25866008187254436
413,90.0,0.0,0.015539289841107997,0.34582297194513334
414,90.0,0.0,0.029088089808526636,-0.15353588175347394
415,90.0,0.0,0.0455483320314415,0.20650762538108144
416,90.0,0.0,0.0346304536221279,0.042433050626523125
417,90.0,0.0,0.059901527787264014,-0.22919468183057995
418,90.0,0.0,0.02114159386716765,-0.25629334017622624
419,90.0,0.0,0.04283306413025958,-0.15970660562701502
420,90.0,0.0,0.028493059988609546,0.32085999667920495
421,90.0,0.0,0.01460339037635872,0.4023866162377536
422,90.0,0.0,0.02259323643113656,-0.6905681377650024
423,90.0,0.0,0.032317190858669374,0.07992166477293419
424,90.0,0.0,0.015882104066015968,-0.29257004385910573
425,90.0,0.0,0.0415994647552512,0.040444647603217566
426,90.0,0.0,0.061058511197963725,-0.06603741875615057
427,90.0,0.0,0.030025285099053643,0.49039348530811494
428,90.0,0.0,0.030843628680821838,0.26508152070806823
429,90.0,0.0,0.0660888300350159,0.4012464026101827
430,90.0,0.0,0.05766856697732986,0.16813048244299134
431,90.0,0.0,0.04824158635274574,0.2622428425617975
432,90.0,0.0,0.031312138064399045,-0.25866844092764313
433,90.0,0.0,0.03062009345822444,-0.6203303714318763
434,90.0,0.0,0.05763572168241998,-0.3195044493383889
435,90.0,0.0,0.045199794497335855,-0.35047120729950376
436,90.0,0.0,0.02231229186936541,-1.143749577951739
437,90.0,0.0,0.038943724331521865,-0.13811478642257202
438,90.0,0.0,0.03769767942472054,-0.4455893301216423
439,90.0,0.0,0.02788419259197207,0.7768874401968348
440,90.0,0.0,0.015501589789749004,-0.06721200339694024
441,90.0,0.0,0.0275008160672889,-0.11547275169642157
442,90.0,0.0,0.05070445882801714,-0.7386429174639656
443,90.0,0.0,0.029038613065163185,0.27404933366569734
444,90.0,0.0,0.04987153950381739,-0.16333121710372597
445,90.0,0.0,0.02990117498638925,-0.02639016720182782
446,90.0,0.0,0.016401039632599285,0.25323171535309796
447,90.0,0.0,0.01711944354568141,-0.03046460436464397
448,90.0,0.0,0.02038860231163553,0.18196521970833485
449,90.0,0.0,0.04514680647253419,0.43897052006419257
450,90.0,1.0,0.014347287409407062,0.08953926373688247
451,90.0,1.0,0.04015386348455041,-0.12358085591478071
452,90.0,1.0,0.018590460125503597,-0.19141609647038413
453,90.0,1.0,0.0367621956581338,-0.10496519286396579
454,90.0,1.0,0.008026909451748748,0.7669128370777704
455,90.0,1.0,0.019230492195047254,0.1257047432871006
456,90.0,1.0,0.040085530488239526,-0.06346663097870454
457,90.0,1.0,0.01942778785063512,0.2567943078954558
458,90.0,1.0,0.08222349637670842,0.22230304664226394
459,90.0,1.0,0.0188516208356132,-0.3772779670767579
460,90.0,1.0,0.023074826234007587,-0.39196896435826345
461,90.0,1.0,0.0205587939909137,0.21460623849139576
462,90.0,1.0,0.034781820926833046,-0.010574377300604511
463,90.0,1.0,0.024515268989305682,0.1656185278930256
464,90.0,1.0,0.019016495218157386,0.4234292346778134
